             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10807154    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807157    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807159    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807165    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807167    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807170    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807173    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807183    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807185    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807186    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807189    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807193    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807197    shared batch.jo ryaghma2 PD       0:00      1 (Priority)
          10807201    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807280    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807287    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807288    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807299    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807310    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807323    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807347    shared    lddmm    lddmm PD       0:00      1 (Priority)
          10807386    shared     bash rkim37@j PD       0:00      1 (Priority)
          10805942    shared logic_87 ynam@umd  R    5:06:30      1 compute0011
          10806659    shared Gaussian cpitts6@  R    2:22:52      1 compute0030
          10806660    shared Gaussian cpitts6@  R    2:15:08      1 compute0114
          10806661    shared Gaussian cpitts6@  R    2:13:44      1 compute0053
          10806662    shared Gaussian cpitts6@  R    2:13:44      1 compute0083
          10806664    shared Gaussian cpitts6@  R    2:13:44      1 compute0126
          10806665    shared Gaussian cpitts6@  R    2:07:34      1 compute0134
          10806666    shared Gaussian cpitts6@  R    2:07:34      1 compute0017
          10806667    shared Gaussian cpitts6@  R    2:07:34      1 compute0018
          10802955    shared case-con hlarman1  R   18:00:33      1 compute0025
          10802983    shared case-con hlarman1  R   17:54:37      1 compute0121
          10803028    shared case-con hlarman1  R   17:43:32      1 compute0039
          10806791    shared Gaussian cpitts6@  R    1:52:53      1 compute0007
          10806132    shared    mcall scorzin1  R    4:05:32      1 compute0118
          10807150    shared run_fusi bdewey3@  R    1:10:26      1 compute0020
          10807136    shared _calc_di bdewey3@  R    1:10:41      1 compute0031
          10807137    shared _calc_di bdewey3@  R    1:10:41      1 compute0031
          10807138    shared _calc_di bdewey3@  R    1:10:41      1 compute0031
          10807135    shared _calc_di bdewey3@  R    1:10:44      1 compute0022
          10807133    shared 20133_ru bdewey3@  R    1:11:16      1 compute0004
          10807281    shared run_fusi bdewey3@  R      27:28      1 compute0031
          10806985    shared Pbd52d19 mconte@u  R      44:44      1 compute0049
          10806989    shared Pb92f181 mconte@u  R      40:29      1 compute0037
          10806988    shared Pb688b49 mconte@u  R      42:45      1 compute0085
          10806987    shared Pd99cd3c mconte@u  R      42:55      1 compute0060
          10806997    shared Pb4098f5 mconte@u  R      36:43      1 compute0050
          10807005    shared P4bc1137 mconte@u  R      29:25      1 compute0075
          10807006    shared P4d400b0 mconte@u  R      29:25      1 compute0119
          10807003    shared Pbf50379 mconte@u  R      31:31      1 compute0044
          10807002    shared Pca488d8 mconte@u  R      32:16      1 compute0109
          10807000    shared P991d5a7 mconte@u  R      33:24      1 compute0078
          10807018    shared P1426df1 mconte@u  R      24:28      1 compute0099
          10807015    shared Pae70466 mconte@u  R      25:40      1 compute0141
          10807011    shared Pac3b443 mconte@u  R      26:29      1 compute0041
